Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
金翠路,Kam Chui Road,古洞,Kwu Tung,None
金竹里,Kam Chuk Lane,黃大仙,Wong Tai Sin,None
金輝徑,Kam Fai Path,元朗,Yuen Long,None
甘芳街,Kam Fong Street,旺角,Mong Kok,None
金鳳街,Kam Fung Street,黃大仙,Wong Tai Sin,None
金坑路,Kam Hang Road,古洞,Kwu Tung,None
錦慶路,Kam Hing Road,錦田,Kam Tin,None
錦河路,Kam Ho Road,錦田,Kam Tin,None
琴行街,Kam Hong Street,北角,North Point,None
金嘉街,Kam Ka Street,上水,Sheung Shui,None
甘霖街,Kam Lam Street,旺角,Mong Kok,None
錦屏街,Kam Ping Street,北角,North Point,None
錦莆路,Kam Po Road,錦田,Kam Tin,None
錦壆路,Kam Pok Road,元朗,Yuen Long,None
錦壆路東,Kam Pok Road East,潭尾,Tam Mei,None
錦壆路西,Kam Pok Road West,元朗,Yuen Long,None
錦山路,Kam Shan Road,大埔,Tai Po,None
錦石路,Kam Shek Road,錦田,Kam Tin,None
錦上路,Kam Sheung Road,八鄉、錦田、元朗,"Pat Heung, Kam Tin, Yuen Long",None
金城道,Kam Shing Road,九龍塘,Kowloon Tong,None
甘澍路,Kam Shue Road,西貢、清水灣,"Sai Kung, Clear Water Bay",None
金水北路,Kam Shui North Road,元朗,Yuen Long,None
金水路,Kam Shui Road,石崗,Shek Kong,None
金水南路,Kam Shui South Road,元朗,Yuen Long,None
錦泰路,Kam Tai Road,錦田,Kam Tin,None
錦田繞道,Kam Tin Bypass,錦田,Kam Tin,None
錦田公路,Kam Tin Road,錦田、石崗、元朗、八鄉,"Kam Tin, Shek Kong, Yuen Long, Pat Heung",None
錦田市街,Kam Tin Shi Street,錦田,Kam Tin,None
金錢徑,Kam Tsin Path,古洞,Kwu Tung,None
金錢路,Kam Tsin Road,古洞,Kwu Tung,None
金錢南路,Kam Tsin South Road,上水,Sheung Shui,None
金華街,Kam Wa Street,筲箕灣,Shau Kei Wan,None
錦榮街,Kam Wing Street,新蒲崗,San Po Kong,None
錦和橋,Kam Wo Bridge,大埔,Tai Po,None
錦匯路,Kam Wui Road,錦田,Kam Tin,None
錦英路,Kam Ying Road,馬鞍山,Ma On Shan,None
錦儒路,Kam Yu Road,大埔,Tai Po,None
甘雨路,Kam Yue Road,元朗,Yuen Long,None
金源里,Kam Yuen Lane,柴灣,Chai Wan,None
勤學里,Kan Hok Lane,將軍澳,Tseung Kwan O,None
甘肅街,Kansu Street,油麻地,Yau Ma Tei,chi-place
甲邊朗下里,Kap Pin Long Lower Lane,西貢,Sai Kung,None
甲邊朗中里,Kap Pin Long Middle Lane,西貢,Sai Kung,None
甲邊朗上里,Kap Pin Long Upper Lane,西貢,Sai Kung,None
紅棉徑,Kapok Path,元朗,Yuen Long,None
吉祥街,Kat Cheung Crescent,上水,Sheung Shui,None
吉慶後街,Kat Hing Back Street,大澳,Tai O,None
吉慶街,Kat Hing Street,大澳,Tai O,None
吉澳大街,Kat O Main Street,吉澳,Crooked Island,None
吉安街,Kat On Street,灣仔,Wan Chai,None
吉圍徑,Kat Wai Path,吉澳,Crooked Island,None
舊墟直街,Kau Hui Chik Street,大埔,Tai Po,None
靠背壟道,Kau Pui Lung Road,土瓜灣,To Kwa Wan,None
滘西新村路,Kau Sai San Tsuen Road,西貢,Sai Kung,None
九肚徑,Kau To Path,沙田,Sha Tin,None
九肚山路,Kau To Shan Road,沙田,Sha Tin,None
九如坊,Kau U Fong,中環,Central,None
九如坊北,Kau U Fong North,上環,Sheung Wan,None
九如坊西,Kau U Fong West,中環,Central,None
教育路,Kau Yuk Road,元朗,Yuen Long,None
麒麟徑,Kei Lun Path,屯門,Tuen Mun,None
麒青街,Kei Tsing Street,藍地,Lam Tei,None
基業里,Kei Yip Lane,觀塘,Kwun Tong,None
基業街,Kei Yip Street,觀塘,Kwun Tong,None
徑口里,Keng Hau Lane,大圍,Tai Wai,None
徑口路,Keng Hau Road,大圍,Tai Wai,None
徑棚下路,Keng Pang Ha Road,西貢,Sai Kung,None
瓊山里,Keng Shan Lane,筲箕灣,Shau Kei Wan,None
堅尼地道,Kennedy Road,灣仔、半山區、金鐘,"Wan Chai, Mid-levels, Admiralty",governor
堅尼地街,Kennedy Street,灣仔,Wan Chai,governor
堅尼地台,Kennedy Terrace,中環,Central,governor
堅尼地城海旁,Kennedy Town Praya,石塘咀、堅尼地城,"Shek Tong Tsui, Kennedy Town",governor
根德道,Kent Road,九龍塘,Kowloon Tong,british-p
敬誠街,Keswick Street,銅鑼灣,Causeway Bay,None
羌山道,Keung Shan Road,石壁,Shek Pik,None
強業街,Keung Yip Street,元朗,Yuen Long,None
奇靈里,Ki Ling Lane,西營盤,Sai Ying Pun,None
基隆街,Ki Lung Street,深水埗,Sham Shui Po,chi-place
江西街,Kiang Hsi Street,紅磡,Hung Hom,chi-place
江蘇街,Kiang Su Street,土瓜灣,To Kwa Wan,chi-place
擊壤路,Kik Yeung Road,元朗,Yuen Long,None
兼善里,Kim Shin Lane,長沙灣,Cheung Sha Wan,None
金巴利道,Kimberley Road,尖沙咀,Tsim Sha Tsui,british-o
金巴利街,Kimberley Street,尖沙咀,Tsim Sha Tsui,british-o
健全街,Kin Chuen Street,葵涌,Kwai Chung,None
建發里,Kin Fat Lane,屯門,Tuen Mun,None
建發街,Kin Fat Street,屯門,Tuen Mun,None
建豐街,Kin Fung Circuit,屯門,Tuen Mun,None
健康街,Kin Hong Street,葵涌,Kwai Chung,None
建基街,Kin Kei Street,屯門,Tuen Mun,None
建群街,Kin Kwan Street,屯門,Tuen Mun,None
建國街,Kin Kwok Street,屯門,Tuen Mun,None
建樂街,Kin Lok Street,元朗,Yuen Long,None
建隆街,Kin Lung Street,屯門,Tuen Mun,None
建明街,Kin Ming Street,荃灣,Tsuen Wan,None
建安街,Kin On Street,屯門,Tuen Mun,None
建新里,Kin San Lane,長洲,Cheung Chau,None
乾秀里,Kin Sau Lane,上環,Sheung Wan,None
建盛里,Kin Shing Lane,屯門,Tuen Mun,None
建泰街,Kin Tai Street,屯門,Tuen Mun,None
建德街,Kin Tak Street,元朗,Yuen Long,None
健東路,Kin Tung Road,東涌,Tung Chung,None
建華街,Kin Wah Street,北角,North Point,None
建灣街,Kin Wan Street,紅磡,Hung Hom,None
建榮里,Kin Wing Lane,屯門,Tuen Mun,None
建榮街,Kin Wing Street,屯門,Tuen Mun,None
建旺里,Kin Wong Lane,屯門,Tuen Mun,None
建旺街,Kin Wong Street,屯門,Tuen Mun,None
建業街,Kin Yip Street,元朗,Yuen Long,None
敬祖路,King Cho Road,葵涌,Kwai Chung,None
景福街,King Fuk Street,新蒲崗,San Po Kong,None
景峰徑,King Fung Path,屯門,Tuen Mun,None
景康街,King Hong Street,新蒲崗,San Po Kong,None
景光街,King Kwong Street,跑馬地,Happy Valley,None
景荔徑,King Lai Path,荔枝角,Lai Chi Kok,None
瓊林街,King Lam Street,長沙灣,Cheung Sha Wan,None
景嶺路,King Ling Road,將軍澳,Tseung Kwan O,None
敬民街,King Man Street,西貢,Sai Kung,None
景明道,King Ming Road,北角,North Point,None
景新徑,King San Path,屯門,Tuen Mun,None
景秀里,King Sau Lane,屯門,Tuen Mun,None
景星街,King Sing Street,灣仔,Wan Chai,None
京街,King Street,銅鑼灣,Causeway Bay,singlecn
景泰街,King Tai Street,新蒲崗,San Po Kong,None
敬德街,King Tak Street,何文田,Ho Man Tin,None
瓊東街,King Tung Street,牛池灣、黃大仙,"Ngau Chi Wan, Wong Tai Sin",None
京華道,King Wah Road,北角,North Point,None
景雲街,King Wan Street,土瓜灣,To Kwa Wan,None
敬賢里,King Yin Lane,將軍澳,Tseung Kwan O,None
敬業里,King Yip Lane,觀塘,Kwun Tong,None
敬業街,King Yip Street,觀塘,Kwun Tong,None
瓊園路,King Yuen Road,元朗,Yuen Long,None
京士柏山道,King's Park Hill Road,何文田,Ho Man Tin,royal
京士柏道,King's Park Rise,何文田、油麻地,"Ho Man Tin, Yau Ma Tei",royal
英皇道,King's Road,北角、鰂魚涌,"North Point, Quarry Bay",royal
京士頓街,Kingston Street,銅鑼灣,Causeway Bay,None
橋昌路,Kiu Cheong Road,屏山,Ping Shan,None
橋發街,Kiu Fat Street,屏山,Ping Shan,None
橋下路,Kiu Ha Road,沙田,Sha Tin,None
僑興路,Kiu Hing Road,元朗,Yuen Long,None
橋洪路,Kiu Hung Road,屏山,Ping Shan,None
九江街,Kiu Kiang Street,深水埗,Sham Shui Po,chi-place
僑景街,Kiu King Street,坪洲,Peng Chau,None
橋樂坊,Kiu Lok Square,元朗,Yuen Long,None
橋壽徑,Kiu Sau Path,元朗,Yuen Long,None
橋盛街,Kiu Shing Street,屏山,Ping Shan,None
橋德徑,Kiu Tak Path,元朗,Yuen Long,None
橋頭路,Kiu Tau Road,粉嶺,Fanling,None
橋旺街,Kiu Wong Street,元朗,Yuen Long,None
僑蔭街,Kiu Yam Street,深水埗,Sham Shui Po,None
勵德街,Knight Street,九龍塘,Kowloon Tong,None
諾士佛台,Knutsford Terrace,尖沙咀,Tsim Sha Tsui,british-o
高超徑,Ko Chiu Path,油塘,Yau Tong,None
高超道,Ko Chiu Road,油塘,Yau Tong,None
高輝道,Ko Fai Road,油塘,Yau Tong,None
高芳街,Ko Fong Street,葵涌,Kwai Chung,None
高行路,Ko Hang Road,新田,San Tin,None
高安里,Ko On Lane,油塘,Yau Tong,None
高埔路,Ko Po Road,錦田,Kam Tin,None
高山道,Ko Shan Road,紅磡、土瓜灣,"Hung Hom, To Kwa Wan",None
高山村徑,Ko Shan Tsuen Path,長洲,Cheung Chau,None
高陞街,Ko Shing Street,西營盤,Sai Ying Pun,None
角祥街,Kok Cheung Street,大角咀,Tai Kok Tsui,None
甘泉街,Kom Tsun Street,荔枝角,Lai Chi Kok,None
甘雨街,Kom U Street,西營盤,Sai Ying Pun,None
港中里,Kong Chung Lane,上環,Sheung Wan,None
缸瓦甫路,Kong Nga Po Road,上水,Sheung Shui,None
崗背街,Kong Pui Street,沙田,Sha Tin,None
港深西部公路,Kong Sham Western Highway,藍地,Lam Tei,None
鋼綫灣道,Kong Sin Wan Road,薄扶林,Pok Fu Lam,None
江大路,Kong Tai Road,錦田,Kam Tin,None
港攸路,Kong Yau Road,元朗,Yuen Long,None
貫華里,Koon Wah Lane,慈雲山,Tsz Wan Shan,None
康山道,Kornhill Road,鰂魚涌,Quarry Bay,None
旭龢道,Kotewall Road,半山區,Mid-levels,None
九龍城道,Kowloon City Road,土瓜灣,To Kwa Wan,None
九龍公園徑,Kowloon Park Drive,尖沙咀,Tsim Sha Tsui,None
九龍道,Kowloon Road,深水埗,Sham Shui Po,None
居賢坊,Kui In Fong,半山區,Mid-levels,None
居適街,Kui Sik Street,粉嶺,Fanling,None
居達街,Kui Tat Street,粉嶺,Fanling,None
居仁里,Kui Yan Lane,西營盤,Sai Ying Pun,None
谷亭街,Kuk Ting Street,元朗,Yuen Long,None
觀音街,Kun Yam Street,紅磡,Hung Hom,None
功樂道,Kung Lok Road,觀塘,Kwun Tong,None
公庵路,Kung Um Road,元朗,Yuen Long,None
工業街,Kung Yip Street,葵涌,Kwai Chung,None
吉勝街,Kut Shing Street,柴灣,Chai Wan,None
葵昌路,Kwai Cheong Road,葵涌,Kwai Chung,None
葵涌醫院路,Kwai Chung Hospital Road,荔枝角,Lai Chi Kok,None
葵涌道,Kwai Chung Road,葵涌,Kwai Chung,None
葵發路,Kwai Fat Road,葵涌,Kwai Chung,None
桂芳街,Kwai Fong Street,跑馬地,Happy Valley,None
葵富路,Kwai Foo Road,葵涌,Kwai Chung,None
葵福路,Kwai Fuk Road,葵涌,Kwai Chung,None
葵豐街,Kwai Fung Crescent,葵涌,Kwai Chung,None
葵孝街,Kwai Hau Street,葵涌,Kwai Chung,None
葵喜街,Kwai Hei Street,葵涌,Kwai Chung,None
桂香街,Kwai Heung Street,西營盤,Sai Ying Pun,None
葵興路,Kwai Hing Road,葵涌,Kwai Chung,None
葵康街,Kwai Hong Street,青衣,Tsing Yi,None
葵合街,Kwai Hop Street,葵涌,Kwai Chung,None
葵景路,Kwai King Road,青衣,Tsing Yi,None
葵樂街,Kwai Lok Street,葵涌,Kwai Chung,None
葵聯路,Kwai Luen Road,葵涌,Kwai Chung,None
葵安道,Kwai On Road,葵涌,Kwai Chung,None
葵秀路,Kwai Sau Road,葵涌,Kwai Chung,None
葵盛圍,Kwai Shing Circuit,葵涌,Kwai Chung,None
葵順街,Kwai Shun Street,葵涌,Kwai Chung,None
桂成里,Kwai Sing Lane,跑馬地,Happy Valley,None
葵泰路,Kwai Tai Road,葵涌,Kwai Chung,None
葵德街,Kwai Tak Street,葵涌,Kwai Chung,None
葵定路,Kwai Ting Road,葵涌,Kwai Chung,None
葵青路,Kwai Tsing Road,青衣,Tsing Yi,None
貴翠街,Kwai Tsui Street,柴灣,Chai Wan,None
貴華里,Kwai Wa Lane,上環,Sheung Wan,None
葵榮路,Kwai Wing Road,葵涌,Kwai Chung,None
葵和街,Kwai Wo Street,青衣,Tsing Yi,None
葵仁路,Kwai Yan Road,葵涌,Kwai Chung,None
葵義路,Kwai Yi Road,葵涌,Kwai Chung,None
葵益道,Kwai Yik Road,葵涌,Kwai Chung,None
葵葉街,Kwai Yip Street,葵涌,Kwai Chung,None
葵裕里,Kwai Yue Lane,青衣,Tsing Yi,None
葵裕街,Kwai Yue Street,葵涌,Kwai Chung,None
鈞樂里,Kwan Lok Lane,元朗,Yuen Long,None
關門口街,Kwan Mun Hau Street,荃灣,Tsuen Wan,None
均益街,Kwan Yick Street,堅尼地城,Kennedy Town,None
貴池徑,Kwei Chi Path,牛池灣,Ngau Chi Wan,None
貴州街,Kwei Chow Street,土瓜灣,To Kwa Wan,chi-place
桂地新村路,Kwei Tei San Chuen Road,沙田,Sha Tin,None
桂地街,Kwei Tei Street,沙田,Sha Tin,None
桂林街,Kweilin Street,深水埗,Sham Shui Po,chi-place
過路灣路,Kwo Lo Wan Road,赤鱲角,Chek Lap Kok,None
健康街,Health Street,坪洲,Peng Chau,None
郭興里,Kwok Hing Lane,西營盤,Sai Ying Pun,None
國民路,Kwok Man Road,長洲,Cheung Chau,None
國瑞路,Kwok Shui Road,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
光昌街,Kwong Cheung Street,深水埗、荔枝角,"Sham Shui Po, Lai Chi Kok",None
廣進街,Kwong Chun Street,大埔,Tai Po,None
光輝圍,Kwong Fai Circuit,葵涌,Kwai Chung,None
光輝里,Kwong Fai Lane,葵涌,Kwai Chung,None
廣福里,Kwong Fuk Lane,大埔,Tai Po,None
廣福道,Kwong Fuk Road,大埔,Tai Po,None
廣福坊,Kwong Fuk Square,大埔,Tai Po,None
廣豐里,Kwong Fung Lane,西營盤、石塘咀,"Sai Ying Pun, Shek Tong Tsui",None
光漢台,Kwong Hon Terrace,上環,Sheung Wan,None
廣利道,Kwong Lee Road,深水埗、長沙灣,"Sham Shui Po, Cheung Sha Wan",None
光明街,Kwong Ming Street,灣仔,Wan Chai,None
廣成街,Kwong Shing Street,長沙灣,Cheung Sha Wan,None
廣善街,Kwong Sin Street,沙田,Sha Tin,None
廣田街,Kwong Tin Street,洪水橋,Hung Shui Kiu,None
廣華街,Kwong Wa Street,旺角、油麻地,"Mong Kok, Yau Ma Tei",None
廣宏街,Kwong Wang Street,大埔,Tai Po,None
廣榮里,Kwong Wing Lane,小瀝源,Siu Lek Yuen,None
廣益里,Kwong Yik Lane,金鐘,Admiralty,None
擴業街,Kwong Yip Street,元朗,Yuen Long,None
古坑道,Kwu Hang Road,荃灣,Tsuen Wan,None
古洞路,Kwu Tung Road,新田、古洞,"San Tin, Kwu Tung",None
古洞南路,Kwu Tung South Road,上水,Sheung Shui,None
古屋里,Kwu Uk Lane,荃灣,Tsuen Wan,None
管翠路,Kwun Chui Road,掃管笏,So Kwun Wat,None
官涌街,Kwun Chung Street,油麻地,Yau Ma Tei,None
冠發街,Kwun Fat Street,小欖,Siu Lam,None
冠峰街,Kwun Fung Street,大欖,Tai Lam,None
觀海徑,Kwun Hoi Path,香港仔、黃竹坑,"Aberdeen, Wong Chuk Hang",None
觀塘繞道,Kwun Tong Bypass,牛頭角,Ngau Tau Kok,None
觀塘道,Kwun Tong Road,觀塘、九龍灣、牛頭角、牛池灣,"Kwun Tong, Kowloon Bay, Ngau Tau Kok, Ngau Chi Wan",None
管青路,Kwun Tsing Road,掃管笏,So Kwun Wat,None
觀音灣路,Kwun Yam Wan Road,長洲,Cheung Chau,None
冠業街,Kwun Yip Street,柴灣,Chai Wan,None
喇沙利道,La Salle Road,九龍塘,Kowloon Tong,None
樓梯街,Ladder Street,上環,Sheung Wan,None
樓梯台,Ladder Street Terrace,上環,Sheung Wan,None
金夫人馳馬徑,Lady Clementi's Ride,山頂,The Peak,None
麗港街,Laguna Street,茶果嶺,Cha Kwo Ling,None
海逸道,Laguna Verde Avenue,紅磡,Hung Hom,None
麗翔道,Lai Cheung Road,大角咀、油麻地,"Tai Kok Tsui, Yau Ma Tei",None
荔枝角道,Lai Chi Kok Road,深水埗、長沙灣、旺角、大角咀,"Sham Shui Po, Cheung Sha Wan, Mong Kok, Tai Kok Tsui",None
荔枝嶺路,Lai Chi Ling Road,葵涌,Kwai Chung,None
麗志路,Lai Chi Road,荃灣,Tsuen Wan,None
麗祖路,Lai Cho Road,葵涌,Kwai Chung,None
荔發街,Lai Fat Street,深水埗,Sham Shui Po,None
禮芳街,Lai Fong Street,葵涌,Kwai Chung,None
荔峰街,Lai Fung Street,荔枝角,Lai Chi Kok,None
荔康街,Lai Hong Street,長沙灣,Cheung Sha Wan,None
荔景山路,Lai King Hill Road,葵涌、荔枝角,"Kwai Chung, Lai Chi Kok",None
荔崗街,Lai Kong Street,葵涌,Kwai Chung,None
麗梨花街,Lai Lei Fa Street,葵涌,Kwai Chung,None
荔安里,Lai On Lane,西營盤,Sai Ying Pun,None
麗濱徑,Lai Pan Path,長沙,Cheung Sha,None
麗坪路,Lai Ping Road,火炭,Fo Tan,None
荔寶路,Lai Po Road,荔枝角,Lai Chi Kok,None
麗順路,Lai Shun Road,荃灣,Tsuen Wan,None
勵德邨道,Lai Tak Tsuen Road,銅鑼灣,Causeway Bay,None
麗華街,Lai Wa Street,土瓜灣,To Kwa Wan,None
荔灣道,Lai Wan Road,荔枝角,Lai Chi Kok,None
麗禾里,Lai Wo Lane,沙田,Sha Tin,None
禮仁里,Lai Yan Lane,沙田,Sha Tin,None
禮賢里,Lai Yin Lane,銅鑼灣,Causeway Bay,None
禮賢街,Lai Yin Street,銅鑼灣,Causeway Bay,None
勵業街,Lai Yip Street,觀塘,Kwun Tong,None
麗瑤街,Lai Yiu Street,葵涌,Kwai Chung,None
環湖徑,Lakeside Path,潭尾、新田,"Tam Mei, San Tin",None
臨澤街,Lam Chak Street,觀塘,Kwun Tong,None
藍鐘路,Lam Chung Avenue,牛池灣,Ngau Chi Wan,None
臨福街,Lam Fook Street,牛頭角,Ngau Tau Kok,None
臨豐街,Lam Fung Street,牛頭角、九龍灣,"Ngau Tau Kok, Kowloon Bay",None
嵐霞路,Lam Ha Road,清水灣,Clear Water Bay,None
欖口村路,Lam Hau Tsuen Road,元朗,Yuen Long,None
欖喜路,Lam Hi Road,元朗,Yuen Long,None
臨興街,Lam Hing Street,九龍灣,Kowloon Bay,None
林錦公路,Lam Kam Road,元朗、大埔,"Yuen Long, Tai Po",None
臨利街,Lam Lee Street,九龍灣,Kowloon Bay,None
臨樂街,Lam Lok Street,九龍灣,Kowloon Bay,None
林安坊,Lam On Fong,筲箕灣,Shau Kei Wan,None
林盛路,Lam Shing Road,將軍澳,Tseung Kwan O,None
欖堤東路,Lam Tai East Road,大棠,Tai Tong,None
欖堤西路,Lam Tai West Road,大棠,Tai Tong,None
藍地大街,Lam Tei Main Street,藍地,Lam Tei,None
藍田街,Lam Tin Street,葵涌,Kwai Chung,None
林村鄉公所路,Lam Tsuen Heung Kung Sho Road,林村,Lam Tsuen,None
臨華街,Lam Wah Street,九龍灣,Kowloon Bay,None
欖裕路,Lam Yu Road,屏山、元朗,"Ping Shan, Yuen Long",None
琳寶徑,Lambeth Walk,金鐘,Admiralty,None
蘭芳道,Lan Fong Road,銅鑼灣,Causeway Bay,None
蘭桂坊,Lan Kwai Fong,中環,Central,None
蘭開夏道,Lancashire Road,九龍塘,Kowloon Tong,british-p
蘭杜街,Landale Street,灣仔,Wan Chai,None
青嶼幹線,Lantau Link,馬灣,Ma Wan,None
立德里,Lap Tak Lane,灣仔,Wan Chai,None
洋松街,Larch Street,大角咀,Tai Kok Tsui,None
彩雀街,Larkspur Street,深水埗,Sham Shui Po,None
流浮山道,Lau Fau Shan Road,天水圍,Tin Shui Wai,None
琉璃街,Lau Li Street,北角,North Point,None
流水響道,Lau Shui Heung Road,粉嶺,Fanling,None
留仙街,Lau Sin Street,北角,North Point,None
流業街,Lau Yip Street,元朗,Yuen Long,None
桂花徑,Laurel Path,元朗,Yuen Long,None
利枝道,Lee Chi Road,鴨脷洲,Ap Lei Chau,None
利眾街,Lee Chung Street,柴灣,Chai Wan,None
利發徑,Lee Fat Path,屯門,Tuen Mun,None
利園山道,Lee Garden Road,銅鑼灣,Causeway Bay,None
利興街,Lee Hing Street,鴨脷洲,Ap Lei Chau,None
利景街,Lee King Street,鴨脷洲,Ap Lei Chau,None
利工街,Lee Kung Street,紅磡,Hung Hom,None
利樂街,Lee Lok Street,鴨脷洲,Ap Lei Chau,None
利民道,Lee Man Road,鴨脷洲,Ap Lei Chau,None
利南道,Lee Nam Road,鴨脷洲,Ap Lei Chau,None
利安里,Lee On Lane,觀塘,Kwun Tong,None
利安道,Lee On Road,觀塘,Kwun Tong,None
利東街,Lee Tung Street,灣仔,Wan Chai,None
利榮街,Lee Wing Street,鴨脷洲,Ap Lei Chau,None
利益街,Lee Yick Street,元朗,Yuen Long,None
利業街,Lee Yip Street,油麻地,Yau Ma Tei,None
立法會道,Legislative Council Road,金鐘,Admiralty,None
鯉景道,Lei King Road,西灣河、筲箕灣,"Sai Wan Ho, Shau Kei Wan",None
梨木道,Lei Muk Road,葵涌,Kwai Chung,None
梨貝街,Lei Pui Street,葵涌,Kwai Chung,None
梨樹路,Lei Shu Road,葵涌,Kwai Chung,None
利東邨道,Lei Tung Estate Road,鴨脷洲,Ap Lei Chau,None
鯉魚門徑,Lei Yue Mun Path,油塘,Yau Tong,None
鯉魚門海傍道,Lei Yue Mun Praya Road,油塘,Yau Tong,None
鯉魚門道,Lei Yue Mun Road,藍田、觀塘、油塘,"Lam Tin, Kwun Tong, Yau Tong",None
禮頓山道,Leighton Hill Road,跑馬地、灣仔,"Happy Valley, Wan Chai",None
禮頓里,Leighton Lane,跑馬地,Happy Valley,None
禮頓道,Leighton Road,灣仔、銅鑼灣,"Wan Chai, Causeway Bay",None
瀝源橋,Lek Yuen Bridge,沙田,Sha Tin,None
瀝源街,Lek Yuen Street,沙田,Sha Tin,None
良才里,Leung Choi Lane,屯門,Tuen Mun,None
梁輝台,Leung Fai Terrace,半山區,Mid-levels,None
兩塊田下路,Leung Fai Tin Lower Road,清水灣,Clear Water Bay,None
兩塊田上路,Leung Fai Tin Upper Road,清水灣,Clear Water Bay,None
良康里,Leung Hong Lane,屯門,Tuen Mun,None
兩儀坊,Leung I Fong,西營盤,Sai Ying Pun,None
良信街,Leung Shun Street,屯門,Tuen Mun,None
良泰里,Leung Tai Lane,屯門,Tuen Mun,None
良德街,Leung Tak Street,屯門,Tuen Mun,None
良運街,Leung Wan Street,屯門,Tuen Mun,None
良業街,Leung Yip Street,元朗,Yuen Long,None
李節街,Li Chit Street,灣仔,Wan Chai,None
利群道,Li Kwan Avenue,銅鑼灣,Causeway Bay,None
李寶龍路,Li Po Lung Path,堅尼地城,Kennedy Town,None
李陞街,Li Sing Street,西營盤,Sai Ying Pun,None
利得街,Li Tak Street,大角咀,Tai Kok Tsui,None
利源東街,Li Yuen Street East,中環,Central,None
利源西街,Li Yuen Street West,中環,Central,None
自由道,Liberty Avenue,何文田,Ho Man Tin,None
丁香徑,Lilac Path,元朗,Yuen Long,None
丁香街,Lilac Street,深水埗,Sham Shui Po,None
芙蓉徑,Lily Path,元朗,Yuen Long,None
蓮花街,Lily Street,銅鑼灣,Causeway Bay,None
念祖街,Lim Cho Street,葵涌,Kwai Chung,None
菩提街,Lime Street,大角咀,Tai Kok Tsui,None
連翔道,Lin Cheung Road,大角咀,Tai Kok Tsui,None
蓮花宮東街,Lin Fa Kung Street East,銅鑼灣,Causeway Bay,None
蓮花宮西街,Lin Fa Kung Street West,銅鑼灣,Causeway Bay,None
蓮麻坑路,Lin Ma Hang Road,粉嶺,Fanling,None
蓮坪路,Lin Ping Drive,昂坪,Ngong Ping,None
連城道,Lin Shing Road,柴灣,Chai Wan,None
連德道,Lin Tak Road,藍田,Lam Tin,None
林肯道,Lincoln Road,九龍塘,Kowloon Tong,british-p
靈康路,Ling Hong Road,將軍澳,Tseung Kwan O,None
嶺光街,Ling Kwong Street,將軍澳,Tseung Kwan O,None
靈山路,Ling Shan Road,粉嶺,Fanling,None
連道,Link Road,跑馬地、銅鑼灣,"Happy Valley, Causeway Bay",singlecn
獅子橋,Lion Bridge,沙田,Sha Tin,None
獅子石道,Lion Rock Road,九龍城,Kowloon City,None
獅子山隧道,Lion Rock Tunnel,沙田,Sha Tin,None
獅子山隧道公路,Lion Rock Tunnel Road,沙田,Sha Tin,None
料壆路,Liu Pok Road,古洞,Kwu Tung,None
寮肚路,Liu To Road,青衣,Tsing Yi,None
雷丹彌徑,Lloyd Path,山頂,The Peak,None
露輝路,Lo Fai Road,大埔,Tai Po,None
老龍坑街,Lo Lung Hang Street,紅磡,Hung Hom,None
露坪街,Lo Peng Street,坪洲,Peng Chau,None
露屏路,Lo Ping Road,大埔,Tai Po,None
路德圍,Lo Tak Court,荃灣,Tsuen Wan,None
老圍里,Lo Wai Lane,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
老圍路,Lo Wai Road,荃灣,Tsuen Wan,None
羅湖道,Lo Wu Station Road,上水,Sheung Shui,None
樂道,Lock Road,尖沙咀,Tsim Sha Tsui,singlecn
駱克道,Lockhart Road,灣仔、銅鑼灣,"Wan Chai, Causeway Bay",officials
康城路,Lohas Park Road,將軍澳,Tseung Kwan O,None
樂翠街,Lok Chui Street,大欖、屯門,"Tai Lam, Tuen Mun",None
樂楓徑,Lok Fung Path,沙田,Sha Tin,None
樂霞坊,Lok Ha Square,沙田,Sha Tin,None
樂慶里,Lok Hing Lane,中環,Central,None
樂景街,Lok King Street,沙田,Sha Tin,None
樂古道,Lok Ku Road,上環,Sheung Wan,None
樂葵徑,Lok Kwai Path,沙田,Sha Tin,None
樂群街,Lok Kwan Street,大角咀,Tai Kok Tsui,None
樂林路,Lok Lam Road,沙田,Sha Tin,None
樂蓮徑,Lok Lin Path,火炭,Fo Tan,None
落馬洲路,Lok Ma Chau Road,元朗,Yuen Long,None
樂民道,Lok Man Road,柴灣,Chai Wan,None
樂鳴街,Lok Ming Street,粉嶺,Fanling,None
樂坪街,Lok Peng Street,坪洲,Peng Chau,None
落山道,Lok Shan Road,土瓜灣,To Kwa Wan,None
樂城街,Lok Shing Street,沙田,Sha Tin,None
樂信徑,Lok Shun Path,火炭,Fo Tan,None
樂善道,Lok Sin Road,九龍城,Kowloon City,None
樂天街,Lok Tin Street,粉嶺,Fanling,None
樂濤街,Lok To Street,大欖,Tai Lam,None
樂東街,Lok Tung Street,粉嶺,Fanling,None
樂華街,Lok Wah Street,慈雲山,Tsz Wan Shan,None
落禾沙里,Lok Wo Sha Lane,馬鞍山,Ma On Shan,None
