Message,Datetime
堅拿道天橋往紅隧，龍尾：橋面燈位。,2015-02-25 HKT 11:20
黃竹坑道往香港仔方向交通回復正常。,2015-02-25 HKT 11:00
較早前香港仔隧道往香港仔方向的間歇性封閉措施已取消。,2015-02-25 HKT 10:42
黃竹坑道往香港仔方向仍然擠塞，龍尾：堅拿道天橋近時代廣場。,2015-02-25 HKT 10:30
較早前觀塘道天橋往偉業街方向，近上橋位快線的壞車已清理，車龍有待消散。,2015-02-25 HKT 10:19
較早前鴨利洲橋道往海怡半島方向，近利東邨道的交通意外已清理，一帶仍然非常擠塞，龍尾：香港仔隧道灣仔入口。,2015-02-25 HKT 10:15
受車多影響，香港仔隧道往香港仔方向，現正實施間歇性封閉措施。,2015-02-25 HKT 10:12
較早前鴨利洲橋道往海怡半島方向，近利東邨道的交通意外未清理，快線解封，慢線仍然封閉。,2015-02-25 HKT 10:09
較早前東區走廊東行往柴灣方向，近愛蝶灣快線的交通意外已清理，車龍有待消散。,2015-02-25 HKT 10:02
較早前鴨利洲橋道往海怡半島方向，近利東邨道的交通意外未清理，現時全線封閉，一帶交通非常擠塞，龍尾：香港仔隧道黃竹坑出口。,2015-02-25 HKT 10:01
觀塘道天橋往偉業街方向，近上橋位快線有壞車阻路，龍尾：坪石邨。,2015-02-25 HKT 09:57
東區走廊東行往柴灣方向，近愛蝶灣快線有交通意外，龍尾：東濤苑。,2015-02-25 HKT 09:52
鴨利洲橋道往海怡半島方向，近利東邨道慢線有交通意外，龍尾：黃竹坑道近香港仔運動場。,2015-02-25 HKT 09:48
東九龍走廊往紅隧交通暫時正常。,2015-02-25 HKT 09:40
加士居道天橋往大角咀方向，龍尾：康莊道橋底。,2015-02-25 HKT 09:20
告士打道西行往中環方向車多繁忙，龍尾：史釗域道。,2015-02-25 HKT 09:00
較早前大潭道近大潭水塘的交通意外已清理，封路重開。,2015-02-25 HKT 08:52
較早前金鐘添馬街往高等法院方向，近海富中心的爆水管已清場，封路重開。,2015-02-25 HKT 08:25
大潭道近大潭水塘有交通意外，現正實施單線雙程行車。,2015-02-25 HKT 08:09
大埔林村有許願節活動，直至晚上七時，介乎林村鄉排樓至林村鄉公所的一段林村鄉公所路會暫時封閉。,2015-02-25 HKT 08:00
受水務急修影響，貨櫃碼頭路往葵芳方向，介乎葵康街與葵順街之間的一段全線封閉。,2015-02-25 HKT 07:45
紅磡海底隧道九龍入口，近收費廣場對出一段車多。,2015-02-25 HKT 07:30
受爆水管影響，柴灣怡盛街介乎怡順街與怡泰街一段，來回方向全線封閉。,2015-02-25 HKT 07:15
較早前屯門景峰徑的爆水管已清理，現時往青山公路方向，近景秀里段封路重開。,2015-02-25 HKT 07:00
各區隧道出入口交通大致暢順。,2015-02-25 HKT 06:45
太子道東往觀塘，近新蒲崗景泰街對開有意外，交通略為擠塞。,2015-02-26 HKT 20:00
為配合中環灣仔繞道工程，現時所有長逾7米的車輛禁止由京華道或宏安道左轉油街。(至31/5),2015-02-26 HKT 19:45
亞皆老街往大角咀街，近洗衣街一帶較多車。,2015-02-26 HKT 19:30
屯門公路往屯門，近大欖角轉車站一帶較多車。,2015-02-26 HKT 19:16
告士打道東行過海仍然非常繁忙，龍尾：夏愨道近政府總部。,2015-02-26 HKT 19:00
龍翔道往荃灣方向，近彩虹邨一帶仍然多車，龍尾：觀塘道近啟業邨。,2015-02-26 HKT 18:46
公主道往紅隧，龍尾：康莊道橋面。,2015-02-26 HKT 18:30
較早前受水務急修影響而封閉的貨櫃碼頭路往葵芳方向，介乎葵康街與葵順街之間的一段全線解封。,2015-02-26 HKT 18:12
龍翔道往荃灣方向，近彩虹邨一段擠塞，龍尾：觀塘道近啟業邨。,2015-02-26 HKT 18:00
東區海底隧道港島入口，龍尾：東港中心。,2015-02-26 HKT 17:40
較早前因危險招牌而封閉的九龍城沙浦道現已全線解封。,2015-02-26 HKT 17:22
較早前鯉魚門道往旺角方向，近油站第2線的交通意外已清理，車龍有待消散。,2015-02-26 HKT 17:18
鯉魚門道往旺角方向，近油站第2線有交通意外，一帶車多。,2015-02-26 HKT 17:08
較早前觀塘繞道往油塘方向，近九龍灣國際展貿中心對開快線的壞車已拖走，一帶交通回復正常。,2015-02-26 HKT 17:01
觀塘繞道往油塘方向，近九龍灣國際展貿中心對開快線有壞車阻路，一帶車多。,2015-02-26 HKT 16:52
受水務急修影響，貨櫃碼頭路往葵芳方向，介乎葵康街與葵順街之間的一段全線封閉。,2015-02-26 HKT 16:20
加士居道天橋往大角咀方向擠塞，龍尾：佛光街橋底。,2015-02-26 HKT 16:00
堅拿道天橋往紅隧，龍尾：馬會大樓。,2015-02-26 HKT 15:40
因危險招牌，九龍城沙浦道全線封閉。,2015-02-26 HKT 15:17
告士打道東行往紅隧，龍尾：中環廣場。,2015-02-26 HKT 15:00
較早前將軍澳道落斜往觀塘方向，近連德道第2線的交通意外已清理，車龍有待消散。,2015-02-26 HKT 14:38
較早前龍翔道往荃灣方向，近彩虹邨的的修路工程已完成，快線解封，一帶交通回復正常。,2015-02-26 HKT 14:37
將軍澳道落斜往觀塘方向，近連德道第2線有交通意外，龍尾：將軍澳隧道收費廣場。,2015-02-26 HKT 14:25
紅磡海底隧道九龍入口，近收費廣場對出一段車多。,2015-02-26 HKT 14:00
告士打道西行往紅隧，龍尾：上橋位。,2015-02-26 HKT 13:40
加士居道天橋往大角咀方向車多，龍尾：康莊道橋底。,2015-02-26 HKT 13:20
為配合水管更換工程，大埔公路(沙田段)南行往九龍方向，近蔚景園的支路慢線仍然封閉。,2015-02-26 HKT 13:00
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-02-26 HKT 12:45
干諾道中東行往灣仔近大會堂一段擠塞，龍尾：交易廣場。,2015-02-26 HKT 12:30
紅磡海底隧道九龍入口，交通暢順。,2015-02-26 HKT 12:15
龍翔道往荃灣方向，近彩虹邨上橋位有修路工程，龍尾：偉業街天橋。,2015-02-26 HKT 12:00
大埔林村有許願節活動，由現在至1900，介乎林村鄉排樓至林村鄉公所的一段林村鄉公所路會臨時時封閉。(至5/3),2015-02-26 HKT 11:45
公主道往紅隧，龍尾：康莊道橋面。,2015-02-26 HKT 11:30
受水務急修影響，貨櫃碼頭路往葵芳方向，介乎葵康街與葵順街之間的一段全線封閉。,2015-02-26 HKT 11:15
東九龍走廊過海，暫時交通正常。,2015-02-26 HKT 11:00
龍翔道往荃灣方向，近彩虹邨上橋位有修路工程，龍尾：觀塘道近啟業邨。,2015-02-26 HKT 10:45
堅拿道天橋往紅隧交通暫時正常。,2015-02-26 HKT 10:30
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-02-26 HKT 10:15
受水務急修影響，貨櫃碼頭路往葵芳方向，介乎葵康街與葵順街之間的一段全線封閉。,2015-02-26 HKT 10:00
東九龍走廊過海，暫時交通正常。,2015-02-26 HKT 09:45
加士居道往紅隧，龍尾：渡船街果欄。,2015-02-26 HKT 09:30
較早前屯門公路往屯門方向，近深井交匯處對開中線交通意外已清理，消散中的車龍：汀九橋。,2015-02-26 HKT 09:23
較早前龍翔道往觀塘方向，近天馬苑對開慢線交通意外已清理，一帶車多。,2015-02-26 HKT 09:13
屯門公路往屯門方向，近深井交匯處對開中線有交通意外，一帶車多。,2015-02-26 HKT 08:53
龍翔道往觀塘方向，近天馬苑對開慢線有交通意外，龍尾：龍翔苑。,2015-02-26 HKT 08:50
堅拿道天橋往紅隧，龍尾：馬會大樓。,2015-02-26 HKT 08:45
公主道過海多車，龍尾：愛民邨。,2015-02-26 HKT 08:30
為配合水管更換工程，大埔公路(沙田段)南行往九龍方向，近蔚景園的支路慢線仍然封閉。,2015-02-26 HKT 08:15
堅拿道天橋往海底隧道，龍尾：橋面燈位。,2015-02-26 HKT 08:00
大埔林村有許願節活動，由現在至1900，介乎林村鄉排樓至林村鄉公所的一段林村鄉公所路會臨時時封閉。(至5/3),2015-02-26 HKT 07:45
東九龍走廊往紅隧交通暫時正常。,2015-02-26 HKT 07:30
紅磡海底隧道九龍入口，近收費廣場對開一段車多。,2015-02-26 HKT 07:15
較早前受爆水管影響而封閉的，柴灣怡盛街介乎怡順街與怡泰街一段，來回方向全線解封。,2015-02-26 HKT 07:00
受水務急修影響，貨櫃碼頭路往葵芳方向，介乎葵康街與葵順街之間的一段全線封閉。,2015-02-26 HKT 06:45
受緊急工程影響，龍翔道往荃灣，近彩虹邨巴士站一帶慢線封閉，龍尾：觀塘道近九龍灣。,2015-02-27 HKT 20:00
九龍城賈炳達道有水務急修，賈炳達道往新蒲崗方向，近獅子石道快線封閉。,2015-02-27 HKT 19:45
東區海底隧道往九龍及獅子山隧道往沙田，交通分別回復暢順。,2015-02-27 HKT 19:30
受龍翔道緊急工程影響，清水灣道下行近坪石邨一帶亦擠塞，龍尾：順利邨。,2015-02-27 HKT 19:15
龍翔道往荃灣，近彩虹邨巴士站對開慢線有緊急工程，一帶非常多車，龍尾：觀塘道近鯉魚門道。,2015-02-27 HKT 19:05
公主道過海，龍尾：油站。  ,2015-02-27 HKT 18:50
太子道東往觀塘，近新蒲崗段交通略為擠塞。,2015-02-27 HKT 18:40
東區海底隧道往九龍，龍尾：東港中心。 ,2015-02-27 HKT 18:25
大埔林村仍然有臨時交通安排，由現在至1900，介乎林村鄉排樓至林村鄉公所的一段林村鄉公所路會臨時時封閉。,2015-02-27 HKT 18:10
清水灣道下行，近坪石邨一帶現時多車。,2015-02-27 HKT 17:50
彌敦道往深水埗，近豉油街一帶多車，交通略為擠塞。,2015-02-27 HKT 17:25
青山公路元朗段往屏山方向，近大棠路一帶交通回復正常。,2015-02-27 HKT 17:10
告士打道東行往北角，近信和廣場對開快線壞車離開，龍尾有待消散。,2015-02-27 HKT 17:01
天雨路滑，駕駛人士請特別小心駕駛及保持忍讓。,2015-02-27 HKT 16:45
受較早前的意外影響，青山公路元朗段往屏山方向，近大棠路至博愛交匯處一帶仍然擠塞。,2015-02-27 HKT 16:25
告士打道東行往北角，近信和廣場對開快線有壞車阻路，龍尾：中環廣場。,2015-02-27 HKT 16:16
告士打道東行過海塞車，龍尾：夏愨道近紅十字會總部。,2015-02-27 HKT 16:05
較早前青山公路元朗段往屏山方向，近大棠路的意外清場，但龍尾仍然有待消散。,2015-02-27 HKT 16:00
青山公路元朗段往屏山方向，近大棠路有意外，龍尾：博愛交匯處。,2015-02-27 HKT 15:40
紅磡漆咸道北往尖沙咀，近鶴園街的意外清場，一帶只是略為多車。,2015-02-27 HKT 15:25
亞皆老街往大角咀，近洗衣街、染布房街一帶多車，交通略為擠塞。,2015-02-27 HKT 15:05
紅磡漆咸道北往尖沙咀，近鶴園街慢線有意外，龍尾：浙江街。,2015-02-27 HKT 15:00
九龍城賈炳達道有水務急修，賈炳達道往新蒲崗方向，近獅子石道快線封閉。,2015-02-27 HKT 14:45
受多車影響，東九龍走廊過海，龍尾：浙江街。 ,2015-02-27 HKT 14:35
紅磡海底隧道的九龍入口往港島，因收費廣場一帶較多車，交通略為擠塞。,2015-02-27 HKT 14:25
配合港鐵南港島線東段工程，由現在至1500期間，鴨脷洲橋道北行近鴨脷洲徑交界一帶會間歇性封閉其中一條行車線。,2015-02-27 HKT 14:15
龍翔道去荃灣，近彩虹邨段有臨時工程，龍尾：觀塘道近九龍灣德福花園。,2015-02-27 HKT 14:00
較早前山頂道近司徒拔道因交通意外，一帶曾經有封路及擠塞，現已回復正常。,2015-02-27 HKT 13:45
較早前山頂道近司徒拔道的交通意外已清理，交通回復正常。,2015-02-27 HKT 13:30
山頂道下山方向，近司徒拔道的交通意外仍未清理，現實施單線雙程行車。,2015-02-27 HKT 13:24
龍翔道去荃灣，近彩虹邨有修路工程，一帶擠塞，龍尾：偉業街天橋。,2015-02-27 HKT 13:15
因水務急修，九龍城賈炳達道往新蒲崗方向，近獅子石道對開快線封閉。,2015-02-27 HKT 13:00
東九龍走廊往紅隧仍然車多，龍尾：浙江街。,2015-02-27 HKT 12:45
較早前漆咸道南往油麻地方向，近理工大學對開第２線的交通意外已清理，龍尾：東九龍走廊近浙江街。,2015-02-27 HKT 12:24
山頂道下山方向，近司徒拔道有交通意外，現要實施單線雙程行車。,2015-02-27 HKT 12:05
龍翔道去荃灣，近彩虹邨有修路工程，龍尾：偉業街天橋。,2015-02-27 HKT 12:00
漆咸道南往油麻地方向，近理工大學對開第２線有交通意外，龍尾：東九龍走廊近蕪湖街。,2015-02-27 HKT 11:51
告士打道東行往紅隧，龍尾：新鴻基中心。,2015-02-27 HKT 11:30
為配合水管更換工程，大埔公路(沙田段)南行往九龍方向，近蔚景園的支路慢線仍然封閉。,2015-02-27 HKT 11:15
東九龍走廊過海，暫時交通正常。,2015-02-27 HKT 11:00
公主道往紅隧，龍尾：愛民邨。,2015-02-27 HKT 10:35
較早前呈祥道往觀塘方向，近明愛醫院快線的交通意外已清理，一帶車多。,2015-02-27 HKT 10:20
龍翔道去荃灣，近彩虹邨有修路工程，龍尾：偉業街天橋。,2015-02-27 HKT 10:10
呈祥道往觀塘方向，近明愛醫院快線有交通意外，龍尾：蝴蝶谷道。,2015-02-27 HKT 09:55
加士居道往紅隧，龍尾：渡船街果欄。,2015-02-27 HKT 09:45
青嶼幹線第一階段強風管制措施經已實施，中線封閉。,2015-02-27 HKT 09:32
干諾道中東行往灣仔方向，近大會堂一段車多，龍尾：海港政府大樓。,2015-02-27 HKT 09:15
東區走廊西行往中環、灣仔方向擠塞，龍尾：太古城。,2015-02-27 HKT 09:00
較早前堅尼地道去中環，近港燈中心的交通意外已清理，一帶車多經過小心。,2015-02-27 HKT 08:51
較早前窩打老道往尖沙咀方向，近太子道西快線的交通意外已清理，交通回復正常。,2015-02-27 HKT 08:23
堅尼地道去中環，近港燈中心有交通意外，現時實施單線雙程行車。,2015-02-27 HKT 08:08
窩打老道往尖沙咀方向，近太子道西快線有交通意外，龍尾：九龍塘會。,2015-02-27 HKT 07:58
加士居道往紅隧方向交通正常。,2015-02-27 HKT 07:45
告士打道東行往紅隧交通暢順。,2015-02-27 HKT 07:30
公主道往紅隧，龍尾：康莊道橋面。,2015-02-27 HKT 07:15
為方便市民前往大埔林村，由現在起至晚上七點，介乎林村鄉排樓與林村鄉公所的林村鄉公所路會劃為行人專用區，禁止所有車輛駛入。,2015-02-27 HKT 07:00
為配合渠務工程，大埔公路沙田段往九龍，近蔚景園的支路慢線仍然封閉。,2015-02-27 HKT 06:45
獅子山隧道沙田入口，近收費廣場一段開始車多。,2015-02-28 HKT 18:20
龍翔道往荃灣方向，近彩虹邨一段擠塞，龍尾：觀塘道近啟業邨。,2015-02-28 HKT 18:10
較早前太子道東往觀塘方向，近油站對開快線的交通意外已清理，車龍有待消散。,2015-02-28 HKT 17:58
太子道東往觀塘方向，近油站對開快線有交通意外，龍尾：九龍城迴旋處。,2015-02-28 HKT 17:49
受爆水管影響，吐露港公路往大埔方向，近沙田污水處理廠一段，中、快線仍然封閉，龍尾：沙田馬場。,2015-02-28 HKT 17:40
加士居道往紅隧方向交通正常。,2015-02-28 HKT 17:20
受爆水管影響，介乎耀榮街與葵興路的一段禾塘咀街全線仍然封閉。,2015-02-28 HKT 17:00
受水務急修影響，九龍城賈炳達道往新蒲崗方向，近獅子石道一段快線仍然封閉。,2015-02-28 HKT 16:40
較早前受緊急工程影響而封閉的龍翔道往荃灣方向，近彩虹邨的慢線已解封。,2015-02-28 HKT 16:12
告士打道西行往紅隧，龍尾：上橋位。,2015-02-28 HKT 16:00
東九龍走廊往紅隧，龍尾：蕪湖街。,2015-02-28 HKT 15:40
公主道往紅隧，龍尾：康莊道橋面。,2015-02-28 HKT 15:20
堅拿道天橋往紅隧，龍尾：馬會大樓。,2015-02-28 HKT 15:00
受爆水管影響，吐露港公路往大埔方向，近沙田污水處理廠一段，中、快線仍然封閉，龍尾：沙田馬場。,2015-02-28 HKT 14:35
受爆水管影響，吐露港公路往大埔方向，近沙田污水處理廠一段，部分行車線仍然封閉，慢線解封。,2015-02-28 HKT 14:08
較早前香港仔隧道北行往灣仔方向的間歇性封閉措施已取消。,2015-02-28 HKT 14:00
受吐露港公路近沙田污水處理廠的爆水管影響，沙田路往大埔方向亦擠塞，龍尾：城門河。,2015-02-28 HKT 13:40
告士打道東行往紅隧，龍尾：稅務大樓。,2015-02-28 HKT 13:20
受吐露港公路近沙田污水處理廠的爆水管影響，大埔公路及城門隧道公路往大埔方向擠塞，龍尾：美林邨。,2015-02-28 HKT 13:00
較早前窩打老道往沙田方向，近獅子山隧道入口快線的交通意外已清理，車龍有待消散。,2015-02-28 HKT 12:41
較早前漆咸道北往觀塘方向，近佛光街上橋位慢線的壞車已清理，車龍有待消散。,2015-02-28 HKT 12:22
窩打老道往沙田方向，近獅子山隧道入口快線有交通意外，龍尾：浸會橋面。,2015-02-28 HKT 12:19
較早前漆咸道北往觀塘方向，近佛光街上橋位慢線的壞車已清理，車龍有待消散。,2015-02-28 HKT 12:13
受爆水管影響，吐露港公路近沙田污水處理廠一段，往大埔方向的全線封閉，車輛沿大埔公路往大埔方向須經大埔公路馬料水段，而不能直駛往吐露港公路，一帶非常擠塞，龍尾：沙田市中心。,2015-02-28 HKT 12:00
漆咸道北往觀塘，近佛光街上橋位慢線有壞車，龍尾：衛理道。,2015-02-28 HKT 11:45
較早前獅子山隧道去沙田，管道中間的交通意外已清理，龍尾有待消散。,2015-02-28 HKT 11:35
獅子山隧道去沙田，管道中間有交通意外，龍尾：浸會橋面。,2015-02-28 HKT 11:19
受水管爆裂影響，介乎耀榮街與葵興路的一段禾塘咀街現已封閉。,2015-02-28 HKT 11:00
東九龍走廊往紅隧，龍尾：蕪湖街。,2015-02-28 HKT 10:40
公主道往紅隧，龍尾：愛民邨。,2015-02-28 HKT 10:25
告士打道東行往紅隧，龍尾：汽車會。,2015-02-28 HKT 10:00
渡船街天橋往加士居道方向，近駿發花園一段擠塞，龍尾：果欄。,2015-02-28 HKT 09:44
受爆水管影響，吐露港公路近沙田污水處理廠，往大埔方向部份行車線仍然封閉，交通擠塞，龍尾：火炭。,2015-02-28 HKT 09:20
公主道往紅隧，龍尾：康莊道橋面。,2015-02-28 HKT 09:00
較早前汀九橋往青衣方向，快線的交通意外已清理，龍尾消散中。,2015-02-28 HKT 08:43
汀九橋往青衣方向，快線有交通意外，龍尾：屯門公路。,2015-02-28 HKT 08:35
吐露港公路往大埔方向，近沙田污水處理廠一段龍尾：沙田馬場。,2015-02-28 HKT 08:20
受爆水管影響，吐露港公路近沙田污水處理廠一段，往大埔方向的快線及慢線封閉、往九龍方向的快線封閉。,2015-02-28 HKT 08:00
各區隧道出入口暫時交通暢順。,2015-02-28 HKT 07:45
公主道往紅隧，龍尾：康莊道橋面。,2015-03-01 HKT 18:20
告士打道東行往紅隧，龍尾：華潤大廈。,2015-03-01 HKT 18:10
"因應元朗公眾集會，九巴路線(包括276, 276P, B1, 64 及968) 的部份行車線需改經擊壤路、安寧路、媽廟路、宏達路、朗業路。",2015-03-01 HKT 17:45
堅拿道天橋往紅隧交通暫時正常。,2015-03-01 HKT 17:25
較早前窩打老道往獅子山隧道方向，近律倫街交通意外已清理，車龍有待消散。,2015-03-01 HKT 17:10
窩打老道往獅子山隧道方向，近律倫街有交通意外，部份行車線封閉，龍尾：公主道。,2015-03-01 HKT 17:00
受水務急修影響，九龍城賈炳達道往新蒲崗方向，近獅子石道一段快線仍然封閉。,2015-03-01 HKT 16:40
受爆水管影響，吐露港公路往大埔方向，近沙田污水處理廠一段的慢線封閉。,2015-03-01 HKT 16:20
堅拿道天橋往紅隧交通暫時正常。,2015-03-01 HKT 16:00
公主道往紅隧，龍尾：康莊道橋面。,2015-03-01 HKT 15:40
告士打道東行往紅隧，龍尾：華潤大廈。,2015-03-01 HKT 15:20
較早前西九龍走廊往旺角方向，近東京街的交通意外已經清理好，車龍有待消散。,2015-03-01 HKT 14:58
較早前龍翔道往觀塘方向，近黃大仙中心中、快線的交通意外已經清理好，現場交通仍然擠塞，車龍有待消散。,2015-03-01 HKT 14:40
西九龍走廊往旺角方向，近東京街有交通意外，全線封閉，龍尾：星悅居。,2015-03-01 HKT 14:20
較早前屯門公路往九龍方向，近屯門閣的第２線交通意外已清理，車龍有待消散。,2015-03-01 HKT 14:10
龍翔道往觀塘方向，近黃大仙中心有交通意外，中、快線封閉，龍尾：竹園道。,2015-03-01 HKT 14:05
屯門公路往九龍方向，近屯門閣有交通意外，第２線封閉，龍尾：屯門市中心。,2015-03-01 HKT 13:50
為配合沙田節傳新沙田２０１５元宵大匯演，由下午２時至６時，沙田源禾路、沙田鄉士會路名大涌橋路一帶有封路措施。,2015-03-01 HKT 13:40
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-03-01 HKT 13:20
受爆水管影響，吐露港公路往大埔方向，近沙田污水處理廠一段的慢線封閉。,2015-03-01 HKT 13:00
東九龍走廊過海，暫時交通正常。,2015-03-01 HKT 12:40
受水務急修影響，九龍城賈炳達道往新蒲崗方向，近獅子石道一段快線仍然封閉。,2015-03-01 HKT 12:20
堅拿道天橋往紅隧，龍尾：橋面燈位。,2015-03-01 HKT 12:00
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-03-01 HKT 12:00
紅磡海底隧道九龍入口，交通暢順。,2015-03-01 HKT 11:40
受爆水管影響，吐露港公路往大埔方向，近沙田污水處理廠一段的慢線封閉。,2015-03-01 HKT 11:20
受爆水管影響，吐露港公路往大埔方向，近沙田污水處理廠一段，中、快線封閉。,2015-03-01 HKT 11:00
較早前受水管爆裂影響而封閉，介乎耀榮街與葵興街的一段禾塘咀街現解封。,2015-03-01 HKT 10:40
油麻地加士居道天橋今晚有路面清洗工程，0100至明早0600期間，加士居道天橋往大角咀方向，橋面段會臨時封閉。,2015-03-02 HKT 20:20
受爆水管影響，元朗宏業西街介乎良業街至喜業街一段，來回方向全線封閉。,2015-03-02 HKT 20:05
屯門公路往屯門方向，近大欖角段的意外清場，消散中的龍尾：近深井。,2015-03-02 HKT 20:00
東區海底隧道往九龍，交通回復暢順；獅子山隧道及大老山隧道往沙田，近隧道入口範圍仍然多車。,2015-03-02 HKT 19:40
受意外影響，屯門公路往屯門方向，近大欖角至青龍頭段擠塞。,2015-03-02 HKT 19:30
觀塘道往油塘，近裕民坊一帶多車，龍尾：近九龍灣港鐵站。,2015-03-02 HKT 19:15
屯門公路往屯門方向，近大欖角快線有意外，龍尾：大欖涌。,2015-03-02 HKT 19:00
較早前屯門公路往屯門方向，近小欖慢線的壞車已拖走，車龍有待消散。,2015-03-02 HKT 18:47
屯門公路往屯門方向，近小欖慢線有壞車阻路，龍尾：大欖轉車站。,2015-03-02 HKT 18:32
較早前葵涌道往西九龍走廊方向，近落橋位慢線的交通意外已清理，車龍有待消散。,2015-03-02 HKT 18:26
葵涌道往西九龍走廊方向，近落橋位慢線有交通意外，龍尾：美孚新邨。,2015-03-02 HKT 18:13
龍翔道往荃灣方向，近觀景台一段龍尾：蒲崗村道。,2015-03-02 HKT 18:00
龍翔道往荃灣方向，近觀景台對開有交通意外，龍尾：天馬苑。,2015-03-02 HKT 17:41
堅拿道天橋往紅隧，龍尾：馬會大樓。,2015-03-02 HKT 17:30
紅磡海底隧道九龍往港島方向，交通暫時暢順。,2015-03-02 HKT 17:15
加士居道天橋往大角咀方向擠塞，龍尾：蕪湖街。,2015-03-02 HKT 17:00
較早前屯門公路往九龍方向，近屯門閣的交通意外已清理，車龍有待消散。,2015-03-02 HKT 16:38
屯門公路往九龍方向，近屯門閣有交通意外，龍尾：皇珠路。,2015-03-02 HKT 16:27
紅磡海底隧道九龍入口，近收費廣場對出一段車多。,2015-03-02 HKT 16:15
較早前南區淺水灣道近麗景道的壊車已清理，來回方向行車回復正常，但一帶仍然擠塞。,2015-03-02 HKT 16:04
淺水灣道近麗景道來往方向仍然擠塞，往香港仔方向龍尾：赫蘭道；往赤柱方向龍尾：深水灣道。,2015-03-02 HKT 15:45
受爆水管影響，元朗宏業西街介乎良業街至喜業街一段，來回方向全線封閉。,2015-03-02 HKT 15:38
受壊車阻路影響，淺水灣道近麗景道來往方向分別擠塞，龍尾分別在：淺水灣道129號及淺水灣花園大廈。,2015-03-02 HKT 15:25
南區淺水灣道近麗景道有壊車阻路，一帶改為『單線雙程行車』，交通擠塞，龍尾分別在：赤柱及香島道。,2015-03-02 HKT 15:05
為配合中環灣仔繞道工程，所有長逾7米的車輛，禁止由京華道或宏安道左轉油街。(至31/5  1800),2015-03-02 HKT 14:50
九龍城賈炳達道有水務急修，賈炳達道往新蒲崗方向，近獅子石道快線仍然封閉。,2015-03-02 HKT 14:35
大埔林村有許願節活動，由現在至1900，介乎林村鄉排樓至林村鄉公所的一段林村鄉公所路會臨時時封閉。,2015-03-02 HKT 14:20
告士打道東行過海，龍尾：灣仔運動場；西行過海，龍尾：波斯富街。,2015-03-02 HKT 14:05
紅磡海底隧道的九龍入口往港島，暫時交通暢順。,2015-03-02 HKT 13:55
皇后大道東有行人路擴闊工程，金鐘道西行近皇后大道東慢線會臨時封閉。,2015-03-02 HKT 13:40
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-03-02 HKT 13:30
加士居道天橋往大角咀，龍尾：康莊道橋底。,2015-03-02 HKT 13:15
較早前亞皆老街往大角咀方向，近嘉齡道交通意外已清理，車龍有待消散，龍尾：天光道。,2015-03-02 HKT 13:00
因水管爆裂，牛頭角道往觀塘方向，近淘大花園的慢線封閉。,2015-03-02 HKT 12:30
亞皆老街往大角咀方向，近嘉齡道有交通意外，龍尾：天光道。,2015-03-02 HKT 12:10
東九龍走廊往紅隧，龍尾：蕪湖街。,2015-03-02 HKT 11:45
因水管爆裂，九龍城賈炳達道往新蒲崗方向，近獅子石道對開一段快線仍然封閉。,2015-03-02 HKT 11:15
公主道往紅隧，龍尾：康莊道橋面。,2015-03-02 HKT 10:45
因水管爆裂，旺角梭椏道往亞皆老街方向，近艷馬道對開一段快線現已封閉。,2015-03-02 HKT 10:30
告士打道東行往紅隧交通暢順。,2015-03-02 HKT 10:15
龍翔道往觀塘方向擠塞，龍尾：龍蟠苑。,2015-03-02 HKT 10:00
堅拿道天橋往紅隧及慢線往灣仔車多，龍尾：香港仔隧道出口。,2015-03-02 HKT 09:45
東九龍走廊往紅隧，龍尾：鶴園街。,2015-03-02 HKT 09:30
龍翔道往觀塘方向，近畢架山花園對開中線有修路工程，龍尾：蘇屋邨。,2015-03-02 HKT 09:15
公主道往紅隧，龍尾：亞皆老街。,2015-03-02 HKT 09:00
加士居道往紅隧，龍尾：渡船街果欄。,2015-03-02 HKT 08:45
三號幹線往佐敦擠塞，龍尾：港鐵奧運站。,2015-03-02 HKT 08:30
界限街往九龍城方向，近喇沙利道對開中線有壞車阻路，龍尾：大坑東道。,2015-03-02 HKT 08:22
大老山隧道，沙田入口擠塞，龍尾：石礦場。,2015-03-02 HKT 08:00
將軍澳隧道出觀塘擠塞，龍尾：電話機樓。,2015-03-02 HKT 07:45
獅子山隧道公路往九龍，龍尾：新田圍邨。,2015-03-02 HKT 07:30
公主道往紅隧，龍尾：康莊道橋面。,2015-03-02 HKT 07:15
因水管爆裂，賈炳達道往新蒲崗方向近獅子石道對開一段快線仍然封閉。,2015-03-02 HKT 07:00
較早前爆水管已清理，吐露港公路往大埔方向，近沙田污水處理廠一段的慢線解封。,2015-03-02 HKT 06:45
今晚黃竹坑區有港鐵工程，由0130至0530期間，黃竹坑道東行介乎南朗山道及甄沾記大廈一段道路會臨時封閉。,2015-03-03 HKT 20:15
觀塘道東行往油塘，近康寧道油站快線有意外，一帶多車。,2015-03-03 HKT 20:01
東區海底隧道往九龍、大老山隧道往沙田、獅子山隧道往沙田、將軍澳隧道往將軍澳，交通回復正常。,2015-03-03 HKT 19:55
